"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"Q8_4";"MA40A16";"THT_Transducer_(MA40A16)";"226.2500";"-7.3750";"270";"TopLayer"
"Q8_5";"MA40A16";"THT_Transducer_(MA40A16)";"234.7500";"-22.1250";"270";"TopLayer"
"Q8_6";"MA40A16";"THT_Transducer_(MA40A16)";"226.2500";"-36.8750";"270";"TopLayer"
"R1";"10k";"SMD_Widerstand_Array_4-Fach_0603";"40.2500";"7.5000";"270";"BottomLayer"
"R2";"10k";"SMD_Widerstand_Array_4-Fach_0603";"40.2500";"11.5000";"270";"BottomLayer"
"R3";"330";"SMD_Widerstand_Array_4-Fach_0603";"63.2900";"10.5250";"180";"BottomLayer"
"R4";"330";"SMD_Widerstand_Array_4-Fach_0603";"58.2100";"10.5250";"180";"BottomLayer"
"R14";"33k";"SMD_Widerstand_0603";"20.0000";"26.0000";"90";"BottomLayer"
"R15";"10k";"THT_Potentiometer_(RK09D1130C2P)";"21.5000";"-34.0000";"270";"TopLayer"
"R16";"1k";"SMD_Widerstand_0603";"44.6250";"37.4000";"90";"BottomLayer"
