"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"U5";"SN74LVC1G17";"SMD_IC_SOT-363_(SC-70-5)";"36.2000";"39.0000";"90";"BottomLayer"
"U1_1";"LM5109B";"SMD_IC_SOIC-8";"80.5030";"32.7460";"270";"BottomLayer"
"U1_2";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"18.0010";"270";"BottomLayer"
"U1_3";"LM5109B";"SMD_IC_SOIC-8";"80.4960";"3.2710";"270";"BottomLayer"
"U1_4";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"-11.4990";"270";"BottomLayer"
"U1_5";"LM5109B";"SMD_IC_SOIC-8";"80.4960";"-26.2540";"270";"BottomLayer"
"U1_6";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"-40.9990";"270";"BottomLayer"
"U2_1";"LM5109B";"SMD_IC_SOIC-8";"80.5030";"40.1200";"270";"BottomLayer"
"U2_2";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"25.3750";"270";"BottomLayer"
"U2_3";"LM5109B";"SMD_IC_SOIC-8";"80.4960";"10.6450";"270";"BottomLayer"
"U2_4";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"-4.1250";"270";"BottomLayer"
"U2_5";"LM5109B";"SMD_IC_SOIC-8";"80.4960";"-18.8800";"270";"BottomLayer"
"U2_6";"LM5109B";"SMD_IC_SOIC-8";"80.5000";"-33.6250";"270";"BottomLayer"
"X1";"X-Klemme (2-Pol)";"THT_Schraubklemme_2-Pol_(WJ500V-5.08-2P)";"8.2250";"38.7350";"0";"TopLayer"
"X2";"Stiftleiste (10-Fach)";"THT_Pin-Header_10x1_(90°)";"29.8150";"34.2900";"0";"TopLayer"
"X3";"Stiftleiste (10-Fach)";"THT_Pin-Header_10x1_(90°)";"57.7550";"34.2900";"0";"TopLayer"
"X4";"1661";"SMD_Connector_(1661)";"26.5000";"-18.0000";"90";"TopLayer"
"X5";"1661";"SMD_Connector_(1661)";"52.0000";"-18.0000";"90";"TopLayer"
"X6";"1661";"SMD_Connector_(1661)";"30.5000";"18.0000";"90";"TopLayer"
"X7";"1661";"SMD_Connector_(1661)";"52.0000";"18.0000";"90";"TopLayer"
